log2foldChange	pValues	FDR
Gene1	-1.10070448602006	2.02413650878663e-11	1.28195312223153e-10
Gene5	-1.55533153424305	8.58631358230035e-19	4.7448019810289e-17
Gene6	2.17113574009049	1.22427261880032e-18	4.7448019810289e-17
Gene9	-2.3381184866522	2.22123187236968e-07	6.39445539015514e-07
Gene10	-0.674821987544201	1.37096216503966e-11	1.00185696675975e-10
Gene11	0.373895915683547	8.58854186040854e-05	0.000181313661497514
Gene12	0.66263957042746	2.97911196646495e-11	1.66479786361277e-10
Gene13	-0.274313518708637	0.00144777024932922	0.00221835764010122
Gene14	0.797524101980234	2.24506188533468e-13	2.36978754563106e-12
Gene15	0.437463996306493	0.000130589027744727	0.000258457450744773
Gene16	1.35744956512462	2.73259941891463e-10	1.29798472398445e-09
Gene17	-0.569319245136624	6.42726273724672e-08	2.26144429643866e-07
Gene18	0.859145883159725	8.01850057497299e-11	4.0092502874865e-10
Gene21	-2.57083003454213	1.49084388836939e-07	4.56871514177716e-07
Gene22	0.360748100878947	1.92815339094163e-05	4.36129933665369e-05
Gene23	0.23308947309293	0.000777630934957648	0.00125675159718229
Gene25	-1.32840486124496	9.37282181123421e-08	2.96806024022417e-07
Gene26	-4.63116736513488	5.14694277101019e-08	1.88061370479218e-07
Gene28	-2.43283739149512	2.89214622325696e-13	2.74753891209411e-12
Gene31	0.200906052424439	0.00698461949586458	0.010367794564174
Gene32	-0.863113026405259	0.000793737850851972	0.00125675159718229
Gene33	0.286490744825217	0.000103593687586837	0.00020939149618616
Gene34	0.348863084838028	0.000793737850851972	0.00125675159718229
Gene35	1.47075943409976	2.02861517950814e-05	4.48182423379705e-05
Gene36	-0.880358661959045	6.89508250689393e-11	3.63907132308291e-10
Gene37	-1.89896902699185	9.72606346674433e-17	1.53996004890119e-15
Gene38	0.167377282291717	0.0010542701564007	0.00164189614521421
Gene39	0.27945250443132	0.000659284749545416	0.00113876456739663
Gene40	0.979357627349164	4.39688392166228e-14	5.22129965697396e-13
Gene41	0.289883807477834	1.53185862749705e-05	3.54942852712732e-05
Gene42	-0.234276739159454	0.000461232317065125	0.000842635963868979
Gene43	0.460781807727158	1.12280210658901e-05	2.7350307724604e-05
Gene44	-2.14066547273143	0.0107651853657921	0.0152640688022425
Gene47	0.522043900635602	5.77927114213421e-07	1.56865931000786e-06
Gene48	-0.431802981278163	4.11536658834605e-08	1.5638393035715e-07
Gene49	0.450043310677209	5.49152563526807e-06	1.37288140881702e-05
Gene50	-0.372144641465657	0.000432658612626596	0.00080593270979464
Gene51	0.365013106774215	0.00773154917244054	0.0111287450209371
Gene52	-0.909636947084685	2.58164060488244e-09	1.06632981506014e-08
Gene53	-0.550680876829633	1.58352185554643e-12	1.36758705706283e-11
Gene54	0.442948273215385	0.000139900810734871	0.000271236265710463
Gene55	0.555185506700594	7.29218253195353e-08	2.47413335905566e-07
Gene58	2.26184921902943	1.49835852032491e-18	4.7448019810289e-17
Gene59	-0.678306433015383	0.0111202967673631	0.0155357087191102
Gene60	-0.326686686490945	2.74426774841475e-05	5.92512354771366e-05
Gene61	2.54487128348189	4.73526839454361e-17	1.12462624370411e-15
Gene63	2.01716584631719	2.09574046151978e-09	9.04978835656269e-09
Gene66	-0.987763274419793	9.27243805733346e-17	1.53996004890119e-15
Gene67	0.862075557831267	6.70749572533313e-16	9.1030299129521e-15
Gene68	-0.255401265880157	0.000240347821514379	0.000456660860877319
Gene69	2.88153740865332	2.73702662022388e-11	1.62510955575793e-10
Gene71	-0.26326906998307	9.43479672046111e-05	0.000194849062705175
Gene73	-1.30498999581932	1.15087360750063e-08	4.55554136302334e-08
Gene75	0.125637320721243	1.38185001460026e-05	3.28189378467562e-05
Gene79	-0.47576145023589	4.92998334248929e-06	1.30096782649023e-05
Gene80	-0.349120737886291	0.000569699976913077	0.00102116033597627
Gene81	1.17049990372145	0.0192556446028933	0.0257645948911953
Gene82	0.794763883139329	2.22123187236968e-07	6.39445539015514e-07
Gene83	-0.705176262992507	1.732679216292e-11	1.17574661105528e-10
Gene84	-0.416380198056216	1.52961163877068e-09	6.91967169920072e-09
Gene85	0.244966485367676	0.0126469819397665	0.0174125113663452
Gene86	-0.873806453794562	9.08429340471086e-08	2.96806024022417e-07
Gene87	-0.199224920320657	0.00444221162732515	0.00669857308882364
Gene89	0.385895164707124	3.93399411337414e-07	1.09920423756042e-06
Gene90	0.132052260560412	0.0170382215038078	0.0231233006123105
Gene91	0.258704088313975	0.000619396685500211	0.00108967935412074
Gene92	0.17089286444543	0.000701550730018483	0.00116925121669747
Gene93	0.162324290160954	0.00734957588913156	0.0107416878379615
Gene94	0.681642603465324	5.20350610708908e-06	1.33603535182017e-05
Gene95	-0.0273762379449722	0.000673102959377672	0.00114187109180141
Gene100	-1.99911138617584	4.52843201227004e-12	3.58500867638045e-11
